股票名称,代码,类型,评分,买入日期,卖出日期,买入价,收益%,退出方式,持有天数
欧克科技,001223,科技,80.5,2026-01-13,2026-01-13,55.31,-0.5%,排名置换,1
宏和科技,603256,非科技,66.9,2026-01-23,2026-01-23,47.60,-0.8%,排名置换,1
天汽模,002510,非科技,99.2,2026-01-15,2026-01-26,7.82,-0.9%,5天收盘不足5%退出,11
梦洁股份,002397,非科技,84.1,2026-04-23,2026-04-23,4.44,-1.1%,排名置换,1
德业股份,605117,科技,95.4,2026-03-13,2026-03-30,131.84,-1.3%,5天收盘不足5%退出,17
华金资本,000532,非科技,91.6,2025-12-15,2025-12-15,15.31,-1.3%,排名置换,1
大连电瓷,002606,非科技,81.0,2026-02-27,2026-03-02,12.97,-1.3%,排名置换,3
三棵树,603737,非科技,92.2,2026-01-23,2026-01-28,54.53,-1.3%,排名置换,5
力聚热能,603391,非科技,103.0,2026-02-03,2026-02-27,73.09,-1.4%,5天收盘不足5%退出,24
德力股份,002571,非科技,78.4,2026-01-09,2026-01-09,13.12,-1.6%,排名置换,1
亚世光电,002952,科技,76.4,2026-04-22,2026-04-23,27.08,-1.7%,排名置换,1
华映科技,000536,科技,84.6,2025-11-27,2025-11-27,5.58,-1.7%,排名置换,1
普邦股份,002663,非科技,66.5,2025-10-27,2025-10-29,2.35,-1.7%,排名置换,2
锦富技术,300128,科技,80.7,2025-10-27,2025-10-30,7.91,-1.8%,排名置换,3
兴化股份,002109,非科技,84.9,2026-03-09,2026-03-10,4.62,-2.4%,排名置换,1
漳州发展,000753,非科技,79.5,2025-10-29,2025-10-30,8.27,-2.6%,排名置换,1
阿莱德,301419,科技,83.2,2026-04-01,2026-04-03,40.95,-2.6%,排名置换,2
诚志股份,000990,非科技,80.3,2026-03-13,2026-03-13,10.34,-2.7%,排名置换,1
盈新发展,000620,非科技,83.7,2025-11-11,2025-11-11,3.48,-2.9%,排名置换,1
银轮股份,002126,非科技,79.8,2026-02-06,2026-02-06,44.58,-3.1%,排名置换,1
中持股份,603903,非科技,94.5,2025-11-27,2025-12-08,16.18,-3.3%,5天收盘不足5%退出,11
锐明技术,002970,科技,93.7,2026-02-02,2026-02-03,62.94,-3.8%,排名置换,1
正泰电源,002150,科技,69.9,2026-02-02,2026-02-02,25.49,-4.0%,排名置换,1
三安光电,600703,科技,99.2,2026-03-10,2026-03-20,17.27,-4.2%,5天收盘不足5%退出,10
